First,Last,Email,Password,State of IP,Date of Breach,Date of Most Recent Password Change
russell,bradshaw,russell.bradshaw1219@secmail.pro,4790398,michigan,1995-11,1996-04
charles,monroe,charles.monroe2056@secmail.pro,Gudoksannyx,new york,2005-05,1990-06
alice,mcgee,alice.mcgee@icloud.com,43514351,virginia,1991-01,1992-04
rose,gould,rose.gould1406@lavabit.io,102162,arizona,1998-05,2002-06
ashley,chandler,ashley.chandler1018@secmail.pro,102195,new york,1993-09,2012-07
peter,quintero,ky-manischmidt@icloud.com,midnight11,maine,2000-05,1997-03
joyce,garner,joyce.garner740@unzz.edu,jeandi3,illinois,2005-11,2013-01
jennifer,stanley,jennifer.stanley@protonmail.ch,yadirfano,virginia,2013-07,1993-06
michael,washington,michael.washington1675@lavabit.io,assr,massachusetts,2001-06,1992-02
daniel,crawford,daniel.crawford1974@secmail.pro,freeweek,new jersey,2007-02,1992-10
linda,solis,linda.solis1821@icloud.com,JTpIOCocaMgwA,michigan,2015-09,2003-07
janice,boone,janice.boone632@gmail.com,FOCUS124,iowa,2011-10,1999-08
deborah,hayes,deborah.hayes@icloud.com,warhammer40000,nebraska,2008-05,2005-09
brian,foley,brian.foley617@yahoo.com,mary10,new hampshire,2010-08,2014-09
ronald,kerr,ronald.kerr1458@lavabit.io,daniel1991,washington,1999-03,2010-07
kayla,nelson,kayla.nelson1872@gmail.com,915161,massachusetts,2005-05,2016-10
jack,burns,jack.burns632@icloud.com,konfetka92,pennsylvania,1997-01,2005-10
angela,pierce,angela.pierce@secmail.pro,reginali,new jersey,2014-01,2009-03
paul,duncan,paul.duncan661@aol.com,falstone,south dakota,2014-10,1994-08
carol,quinn,turkcell-imtaha@yahoo.com,poweryog,ohio,1990-08,2012-02
lisa,bowman,lisa.bowman1805@yahoo.com,12550,mississippi,2001-02,2011-04
russell,brewer,russell.brewer1552@gmail.com,panchita,mississippi,2015-10,2002-02
helen,montoya,helen.montoya@aol.com,14031970,new jersey,2008-11,1990-09
sharon,alfaro,sharon.alfaro1179@lavabit.io,0065,delaware,1991-07,2009-08
logan,armstrong,logan.armstrong395@aol.com,644945,nebraska,1998-05,2004-05
beverly,morales,beverly.morales110@secmail.pro,skitime,michigan,2000-09,2014-07
jeffrey,patrick,MONICASTONE755@gmail.com,terminator5,south dakota,1996-05,1997-09
russell,chen,russell.chen@icloud.com,196954,vermont,1998-11,2002-04
jordan,cunningham,jordan.cunningham1672@gmail.com,cookie1234,oklahoma,2016-01,2003-06
frances,kerr,frances.kerr1539@unzz.edu,kellymar,wisconsin,1998-11,2001-02
lauren,parsons,lauren.parsons684@lavabit.io,11fduecnf,iowa,1999-01,1998-04
kelly,morrow,kelly.morrow546@lavabit.io,f3muflog,nevada,2004-10,1997-07
rachel,moyer,rachel.moyer@yahoo.com,konno,ohio,2006-06,1992-08
ronald,pitts,sosolsinho@icloud.com,459045,delaware,2015-07,1998-01
benjamin,hartman,benjamin.hartman92@hotmail.com,jojo23,iowa,1998-01,2005-06
diane,oneal,diane.oneal1836@aol.com,03520352,massachusetts,1991-04,1990-04
bradley,watts,bradley.watts1067@protonmail.ch,hrdcre,south dakota,1993-04,2002-01
harold,chandler,harold.chandler@yahoo.com,w1vAn9DAWbpng,nevada,1992-08,1991-06
edward,rollins,edward.rollins1058@secmail.pro,chinaboy,massachusetts,2000-09,2000-10
theresa,gardner,theresa.gardner1596@gmail.com,indhos,mississippi,1992-02,2004-02
anna,raymond,x-titouune@icloud.com,bitc,california,2013-08,1994-11
sara,montgomery,sara.montgomery1444@gmail.com,NICOLA,new jersey,2004-05,2007-08
joseph,johns,joseph.johns@lavabit.io,54luke54,tennessee,2014-09,1990-03
philip,woodard,philip.woodard665@protonmail.ch,b10462,wisconsin,2005-10,2009-08
megan,villalobos,megan.villalobos881@gmail.com,101195,vermont,2011-05,2015-07
william,taylor,william.taylor615@protonmail.ch,trumper,colorado,2012-01,1995-05
alexis,baker,alexis.baker972@lavabit.io,niklzcnfhwtd,south carolina,2014-03,2007-09
lisa,monroe,lisa.monroe@hotmail.com,140878u,utah,2002-07,1993-08
nicole,perkins,nicole.perkins1341@unzz.edu,manure,west virginia,2014-11,1995-06
lauren,kirk,lauren.kirk1887@protonmail.ch,gamma,ohio,2010-01,1996-07
eric,costa,eric.costa96@lavabit.io,dylan610-rem58,kansas,2004-09,2005-07
katherine,clarke,katherine.clarke97@aol.com,treadway,florida,2017-07,1995-03
joshua,pruitt,joshua.pruitt@secmail.pro,38ddxo,oklahoma,2017-04,1992-11
nathan,graves,nathan.graves1536@icloud.com,06097,south dakota,1990-01,1993-02
patricia,villa,kendall.barnes65@icloud.com,semean4,wisconsin,2012-02,2004-04
henry,chapman,henry.chapman416@hotmail.com,enuff1,north carolina,2009-05,2005-09
michael,morales,michael.morales1868@aol.com,979656,north carolina,2016-04,1990-06
debra,hunt,debra.hunt@hotmail.com,baron01,colorado,2006-08,2008-06
andrea,baldwin,andrea.baldwin113@protonmail.ch,070763,mississippi,2017-05,2000-11
kyle,preston,kyle.preston2121@hotmail.com,ecurb1,mississippi,1991-11,1997-07
janet,fleming,janet.fleming40@protonmail.ch,iloveles,mississippi,1990-08,2003-03
natalie,french,hklucrwvha@icloud.com,almafa,georgia,1997-03,1992-02
charles,mclaughlin,charles.mclaughlin@protonmail.ch,donley,nevada,2002-06,2010-08
jerry,frazier,jerry.frazier1836@yahoo.com,roscoe,indiana,2003-03,1991-10
ethan,robbins,ethan.robbins1064@icloud.com,987201,north carolina,2012-04,1990-03
dennis,pham,dennis.pham2107@lavabit.io,070362,louisiana,2012-02,2009-04
sara,fleming,sara.fleming1777@unzz.edu,246623,hawaii,1997-04,1995-03
denise,griffith,denise.griffith@secmail.pro,davlau,south dakota,2001-10,2007-03
janet,decker,scottq@lavabit.io,utaatkm1,mississippi,1996-03,1992-06
hannah,guerra,hannah.guerra1256@yahoo.com,farenheit,massachusetts,2006-11,2014-04
roger,mcmillan,roger.mcmillan1439@secmail.pro,030494j,oklahoma,2012-08,2001-07
emily,powers,emily.powers933@hotmail.com,xthysq,west virginia,1992-11,1997-02
gregory,frank,gregory.frank@unzz.edu,240957,wisconsin,2008-03,2017-04
linda,snyder,linda.snyder603@hotmail.com,ajjonesx,wyoming,1992-06,2006-05
christopher,moon,christopher.moon607@hotmail.com,titan500,west virginia,1999-02,2005-08
shirley,cohen,itach.colorado@secmail.pro,Phil2160,new jersey,2016-11,2015-03
martha,spencer,martha.spencer460@secmail.pro,prep,missouri,2008-03,2016-03
barbara,hickman,barbara.hickman@gmail.com,bseboss,indiana,2011-09,1994-11
vincent,saunders,vincent.saunders821@protonmail.ch,1300135,north carolina,2008-03,1990-11
anna,clarke,anna.clarke1194@hotmail.com,bereza2,connecticut,1994-02,2012-04
sara,barry,sara.barry1875@secmail.pro,ourdog7209,north dakota,1993-03,1993-02
anna,lawrence,anna.lawrence65@protonmail.ch,ybnormal,new jersey,1999-05,1993-05
gary,phan,gary.phan@protonmail.ch,56385638,north carolina,1990-06,2014-09
jessica,palmer,jessica.palmer410@hotmail.com,ohlala,idaho,2009-08,1996-10
cynthia,bernard,cynthia.bernard808@secmail.pro,belalugo,oregon,1996-07,2003-01
roy,friedman,roy.friedman1355@aol.com,tycho7,kansas,2000-02,1991-03
megan,boyd,megan.boyd1011@hotmail.com,kiki01,arkansas,1998-05,2017-08
virginia,norman,virginia.norman@hotmail.com,mb0313,minnesota,1999-03,1999-02
beverly,peterson,beverly.peterson657@unzz.edu,7846,pennsylvania,2009-06,1995-07
gregory,mosley,ady1029130@yahoo.com,Donald7,maryland,1990-10,1999-01
albert,solomon,albert.solomon1696@unzz.edu,pollycat,alabama,1997-03,1993-08
diane,harvey,diane.harvey238@yahoo.com,pallu,south dakota,2000-07,1997-04
amy,blackburn,amy.blackburn@hotmail.com,qwerty753,south carolina,2002-08,2011-08
bryan,sutton,bryan.sutton1286@aol.com,281998,indiana,1998-06,2003-06
debra,ortega,debra.ortega1232@unzz.edu,bukbyj333,indiana,2009-08,1996-02
rose,graham,rose.graham940@icloud.com,cassandr,south dakota,2014-08,1993-11
carol,nicholson,jadawilliams@gmail.com,racher,new hampshire,2007-05,1990-03
barbara,harris,barbara.harris@protonmail.ch,spartaci,kansas,2005-05,2003-04
patrick,russo,patrick.russo665@hotmail.com,zfcbazfc,nebraska,2013-11,2013-03
patrick,brown,patrick.brown1467@yahoo.com,wet6364,missouri,1997-05,2011-01
donald,cobb,donald.cobb1932@aol.com,calabria,ohio,1994-07,2006-03
joseph,dominguez,joseph.dominguez1521@secmail.pro,28021986,rhode island,2013-03,1992-05
austin,leach,austin.leach@icloud.com,6524,arizona,2010-08,2003-01
joshua,berry,ellen12008@icloud.com,4043,alabama,1992-10,2012-10
matthew,benson,matthew.benson1615@secmail.pro,langlang,montana,2008-04,2012-02
charles,james,charles.james1426@secmail.pro,27697,nevada,2017-11,2001-04
theresa,grant,theresa.grant2165@protonmail.ch,overseer,,1996-08,2016-03
frank,hess,frank.hess@lavabit.io,orio,maine,1999-08,2000-02
anna,barron,anna.barron2147@lavabit.io,3932aa8u,washington,2008-06,1995-07
jean,bryant,jean.bryant1255@protonmail.ch,tessab,wisconsin,2012-11,2001-06
kayla,richmond,shonagrovier@hotmail.com,queensbroo,colorado,2005-08,1999-04
judith,crawford,judith.crawford2125@hotmail.com,tuck91,michigan,2002-11,1993-07
brian,stokes,brian.stokes@yahoo.com,9653699,north dakota,1996-06,2017-02
martha,blevins,martha.blevins1336@secmail.pro,drkenny,michigan,2010-02,2017-02
joe,mckay,joe.mckay1754@gmail.com,tsatsa,delaware,2016-06,2006-02
sandra,stone,sandra.stone987@aol.com,scurry6,south carolina,2007-05,2011-08
grace,lugo,grace.lugo949@unzz.edu,sprintcar,kentucky,1992-02,2008-09
frank,cohen,frank.cohen@unzz.edu,highlander1,maryland,2005-09,2005-10
peter,farmer,peter.farmer205@lavabit.io,42Z9Y,new york,2012-11,1990-06
ethan,mclean,ethan.mclean1668@hotmail.com,599181419,california,1991-06,2015-06
nicholas,coffey,nicholas.coffey1463@unzz.edu,room4teen,new hampshire,2006-04,2001-09
jean,coffey,jean.coffey1101@protonmail.ch,poopin,illinois,1998-01,1996-04
johnny,li,johnny.li@gmail.com,6449787,virginia,2017-07,1996-03
nancy,pace,nancy.pace1047@hotmail.com,lolass,,2012-03,2003-10
jean,henderson,harshitprince@hotmail.com,Hdx4TjuxS62m3,maine,2001-06,1991-04
carol,malone,carol.malone767@hotmail.com,xxf515,nevada,2017-11,2001-11
marie,washington,marie.washington1175@unzz.edu,12head34,south dakota,2010-02,2016-11
deborah,mccoy,deborah.mccoy@lavabit.io,585400,georgia,1993-07,1996-03
katherine,velez,katherine.velez1998@gmail.com,Smokedog,louisiana,1998-09,1996-04
emma,keith,emma.keith95@hotmail.com,Le5PauL,new jersey,2009-07,2012-10
justin,giles,justin.giles1198@lavabit.io,28021999,south carolina,2002-09,1996-05
brenda,gilbert,filipbos@yahoo.com,lera1234,missouri,2012-04,2004-10
diana,trevino,diana.trevino@hotmail.com,azarov,ohio,2006-02,2005-08
catherine,frost,catherine.frost688@gmail.com,110615,new jersey,2014-06,2012-03
ralph,webster,ralph.webster512@yahoo.com,cloture,new york,2015-08,2009-07
donald,sims,donald.sims764@aol.com,3022372,montana,2016-01,1994-02
timothy,beasley,timothy.beasley2134@protonmail.ch,9121994,new jersey,2005-10,1994-05
lisa,hart,lisa.hart@secmail.pro,cthutq6,utah,2010-08,2015-05
kenneth,jarvis,lute666@aol.com,fyutk666,hawaii,2017-05,2009-06
albert,parsons,albert.parsons1071@yahoo.com,bckfvjdf,wisconsin,1998-01,2000-06
carolyn,brewer,carolyn.brewer62@unzz.edu,MnTTcb,kansas,2002-10,1991-01
kenneth,kline,kenneth.kline1059@aol.com,Bazilio,washington,2007-08,1997-11
jeffrey,bowman,jeffrey.bowman@hotmail.com,072696,massachusetts,2008-06,1995-08
brittany,cordova,brittany.cordova1998@gmail.com,rekha1,idaho,1997-06,2013-01
stephanie,solomon,stephanie.solomon1282@aol.com,redos,arizona,1990-09,1995-02
jeremy,dejesus,mamarcosandres@gmail.com,iw8ugro,delaware,2003-09,2004-05
eugene,payne,eugene.payne1423@protonmail.ch,photodis,illinois,1992-04,1994-03
kelly,lara,kelly.lara@gmail.com,06061960m,new jersey,1991-08,1994-06
alexander,maddox,alexander.maddox671@unzz.edu,audrey,south dakota,2016-07,2003-02
nathan,henson,nathan.henson1132@secmail.pro,dmb316,colorado,2011-06,2010-08
helen,levy,helen.levy1516@hotmail.com,2240510,pennsylvania,2004-08,1994-02
joseph,peralta,joseph.peralta1698@protonmail.ch,green17,wyoming,2003-04,2000-06
eric,mcfarland,eric.mcfarland@icloud.com,448640de,alabama,2010-04,2016-08
sarah,malone,sarah.malone556@icloud.com,18031969,connecticut,2017-06,2000-10
ethan,ward,ethan.ward1679@protonmail.ch,martinx,wyoming,2008-11,2000-01
alexis,jordan,alexis.jordan2161@protonmail.ch,palmoliv,,1996-04,2016-02
eric,robinson,eric.robinson305@lavabit.io,esther12,new jersey,2003-08,2010-03
jordan,park,jordan.park@protonmail.ch,spurs78,rhode island,2014-09,2017-08
james,ramsey,james.ramsey496@icloud.com,bagirov150190123,west virginia,1996-02,2000-03
debra,petersen,andrei_anderson816@yahoo.com,monkeyman10,florida,2013-11,1993-03
andrea,baker,andrea.baker2075@secmail.pro,sexmenow,indiana,2006-06,2016-10
jennifer,serrano,jennifer.serrano121@secmail.pro,denali99,tennessee,1999-07,2006-07
bradley,carter,bradley.carter@protonmail.ch,iron,florida,1999-02,2001-03
kathryn,haley,kathryn.haley527@protonmail.ch,plokoon,indiana,2008-05,2008-11
bobby,mann,bobby.mann1558@gmail.com,137961,michigan,2002-02,1992-08
julie,beasley,julie.beasley1476@icloud.com,anuto4ka,north carolina,2016-06,2001-06
arthur,barrera,j_nathan@gmail.com,t00g00d,colorado,1994-07,2001-09
paul,barrera,paul.barrera@hotmail.com,1954475,maine,1998-08,1995-11
carolyn,fuentes,carolyn.fuentes1949@protonmail.ch,armad1ll0,kentucky,2001-11,2010-08
richard,kaur,richard.kaur1070@gmail.com,14lolita,maine,1996-08,1990-11
judy,mitchell,judy.mitchell1663@lavabit.io,bonello,north carolina,2010-10,1999-08
marilyn,mcconnell,marilyn.mcconnell1958@lavabit.io,nimitz69,idaho,2006-03,1990-05
gabriel,caldwell,gabriel.caldwell@secmail.pro,altima01,kansas,2017-08,1990-05
olivia,leon,edjolimo@hotmail.com,Treasure1,indiana,2010-11,1999-02
jack,harris,jack.harris651@yahoo.com,ybrjkfc,washington,2006-01,2011-01
grace,carr,grace.carr77@secmail.pro,k49164442,massachusetts,2001-01,1994-09
doris,douglas,doris.douglas1136@gmail.com,gosia1,new york,2013-08,1995-05
carolyn,neal,carolyn.neal@unzz.edu,damson,michigan,2002-04,2010-03
henry,mays,henry.mays503@unzz.edu,1Mellon,mississippi,2005-06,2006-02
kelly,patel,kelly.patel1799@icloud.com,thoughtf,missouri,1992-05,2010-01
jean,mills,tankie0709@icloud.com,p07263,california,2010-04,2006-11
laura,glenn,laura.glenn967@lavabit.io,mdmadc,georgia,1997-03,2016-04
charles,wise,charles.wise@hotmail.com,baildy,montana,1995-06,1998-11
madison,wheeler,madison.wheeler1684@hotmail.com,here4u,georgia,2014-01,1998-06
janet,pham,janet.pham2024@unzz.edu,ansara,georgia,2015-09,2008-01
raymond,soto,raymond.soto1224@yahoo.com,721071k,kansas,2013-04,2003-09
megan,lang,megan.lang590@lavabit.io,bmw328i,connecticut,2016-06,1995-10
julia,hunter,julia.hunter@yahoo.com,Alexander9,michigan,1997-05,1991-04
hannah,bernal,hannah.bernal159@hotmail.com,sexybaby,wyoming,1996-04,1999-03
daniel,horton,daniel.horton1675@aol.com,newhire,idaho,1991-04,1998-08
emily,fuentes,emily.fuentes1717@secmail.pro,emma33,kansas,2001-04,2017-08
diane,curry,diane.curry901@protonmail.ch,jack7777,michigan,2001-08,2012-07
brandon,meyers,brandon.meyers@protonmail.ch,hougham100,kansas,1991-08,1999-03
philip,moreno,philip.moreno855@secmail.pro,061051,south carolina,2001-08,1993-02
aaron,browning,turkcell-imtaha@yahoo.com,d02a03t90a,west virginia,1995-01,2016-05
christine,hammond,christine.hammond859@lavabit.io,84108410,michigan,2009-11,2005-11
sarah,sawyer,sarah.sawyer754@protonmail.ch,BROWN1,texas,2003-09,1999-02
rose,guzman,rose.guzman@yahoo.com,boloto,nebraska,2016-07,1994-01
anna,snow,anna.snow1280@unzz.edu,09071955,nebraska,2014-08,2007-06
evelyn,carrillo,evelyn.carrillo644@unzz.edu,pussy29,new mexico,2010-05,1992-09
christina,nielsen,christina.nielsen1549@protonmail.ch,twalters,georgia,2016-08,1994-09
frank,patton,ramirosando@lavabit.io,71748800,maine,1995-05,2017-03
jessica,munoz,jessica.munoz@unzz.edu,911911911,new mexico,2008-06,2002-04
lisa,melendez,lisa.melendez793@yahoo.com,snakepie,mississippi,2003-10,2014-06
frances,franklin,frances.franklin810@hotmail.com,1110200,connecticut,1993-07,2007-01
julia,hutchinson,julia.hutchinson531@aol.com,20031960,,2015-11,2016-02
alexis,suarez,alexis.suarez1165@aol.com,161188,georgia,2003-03,2007-04
diana,foster,diana.foster@gmail.com,krazyk,wisconsin,1993-09,2008-03
alexis,morris,inesabrantesmarques@secmail.pro,tylerr,kansas,2008-05,1993-03
jane,hickman,jane.hickman2059@icloud.com,03081973,connecticut,1998-04,2016-08
jerry,newton,jerry.newton1173@icloud.com,63666366,new mexico,1990-05,2000-11
scott,schneider,scott.schneider1759@protonmail.ch,wootang,connecticut,2002-03,2002-02
sandra,barker,sandra.barker@yahoo.com,KERRY,oklahoma,2006-07,2011-03
victoria,mann,victoria.mann1747@icloud.com,MdFSh4fCpoTLk,utah,2010-01,1996-08
brittany,mclean,brittany.mclean729@hotmail.com,ducpilot,north dakota,2003-01,1994-08
walter,melton,nadiafranco2009@secmail.pro,shaunta,vermont,1995-10,2005-08
dylan,mayo,dylan.mayo2116@icloud.com,90wFPKyRCWI1E,indiana,2003-07,2012-06
christian,lowe,christian.lowe@unzz.edu,19101951,vermont,2013-05,2013-04
roger,schmidt,roger.schmidt1415@aol.com,ecua,,1991-07,2004-02
laura,mcintyre,laura.mcintyre1679@icloud.com,05021947,new hampshire,1997-03,2015-06
grace,aguirre,grace.aguirre1822@aol.com,fredoche,hawaii,2002-06,1996-02
johnny,wise,johnny.wise1943@secmail.pro,pila47,mississippi,1998-08,1993-07
carol,vasquez,carol.vasquez@gmail.com,smash,utah,1999-04,2015-01
samantha,fisher,samantha.fisher790@secmail.pro,saul,massachusetts,2014-03,2009-09
janice,lucas,janice.lucas752@aol.com,040767,rhode island,2002-09,2000-02
robert,riley,robert.riley1626@aol.com,beer22,new york,1990-11,1995-09
hannah,dominguez,hannah.dominguez1236@aol.com,070486,,2000-02,2002-10
brenda,burch,brenda.burch@aol.com,19791010,pennsylvania,2007-10,2013-11
stephanie,hancock,stephanie.hancock1289@unzz.edu,landroga,virginia,1993-08,1994-07
jose,ashley,ge.lindo1@secmail.pro,12dllvbx,mississippi,2015-09,1999-06
roger,joseph,roger.joseph1399@unzz.edu,sgprater,new hampshire,1995-03,2007-03
nicholas,herring,nicholas.herring1558@protonmail.ch,sarah100,hawaii,2001-04,2013-10
kathryn,dejesus,kathryn.dejesus@gmail.com,1122334,maine,1999-09,1990-04
cheryl,hubbard,cheryl.hubbard1777@secmail.pro,2419411945,ohio,2017-03,1993-01
aaron,stanley,aaron.stanley691@lavabit.io,snook12748,delaware,2014-04,2003-05
alan,gardner,alan.gardner2066@hotmail.com,120353,alabama,2013-11,2012-11
rose,oliver,kharsha456@unzz.edu,stlouis,colorado,1996-02,2002-03
edward,pope,edward.pope@unzz.edu,tlc123,massachusetts,2010-07,2009-01
abigail,bradshaw,abigail.bradshaw5@aol.com,nyr4cups,nevada,2010-08,2015-09
arthur,lamb,arthur.lamb1275@secmail.pro,anyt99,iowa,2013-08,1996-07
jack,ryan,jack.ryan1521@gmail.com,mvomvo,missouri,1997-11,1991-03
anthony,martinez,anthony.martinez2025@aol.com,Kashan,oklahoma,2002-02,2008-07
sharon,medina,sharon.medina@protonmail.ch,deatheater,ohio,1994-09,2002-09
andrew,garrett,amcheer4345@hotmail.com,1swind,alabama,2012-06,2007-03
margaret,peralta,margaret.peralta2123@icloud.com,123mama456,nevada,2017-03,2008-08
hannah,waters,hannah.waters480@hotmail.com,556701,nevada,2006-05,2007-07
jane,allison,jane.allison1319@lavabit.io,kai1es,new jersey,2014-03,2017-08
betty,fleming,betty.fleming@hotmail.com,unme,virginia,1996-10,2016-05
betty,conley,betty.conley1842@unzz.edu,12031973,montana,2007-09,2003-11
ruth,fox,ruth.fox444@yahoo.com,alina97,oregon,2012-11,2012-10
jacob,peterson,chema_saucedo_fast@lavabit.io,razor911,illinois,2004-01,2015-05
ann,sweeney,ann.sweeney1300@gmail.com,311994,south dakota,2012-09,1995-02
frances,burgess,frances.burgess@lavabit.io,ekans,montana,2006-05,2017-03
mark,vaughan,mark.vaughan2175@yahoo.com,8795,idaho,2005-09,2014-10
dennis,cameron,dennis.cameron372@lavabit.io,021769,massachusetts,2014-09,1994-11
brian,clark,brian.clark1641@protonmail.ch,pajas,rhode island,2013-06,1990-02
theresa,mora,theresa.mora596@icloud.com,eisbaer,vermont,1990-05,2001-02
kyle,williamson,kyle.williamson@gmail.com,Sex4ever,tennessee,1997-07,1995-04
tyler,phillips,tyler.phillips656@icloud.com,26ypTek,hawaii,2009-01,1996-03
kathleen,rowe,kathleen.rowe1295@aol.com,poobah,arkansas,2003-05,2017-05
judy,mejia,judy.mejia1490@icloud.com,piedr,south carolina,2004-06,2012-11
debra,webb,debra.webb245@yahoo.com,skiski,massachusetts,1994-08,2009-01
bruce,walters,bruce.walters@lavabit.io,444404,new york,1998-08,1991-03
keith,bryan,keith.bryan2108@gmail.com,sabr,oregon,1998-06,2014-09
carol,cox,baralinka1966@hotmail.com,99004595,idaho,2010-06,2006-04
logan,kramer,logan.kramer1360@aol.com,4866,new mexico,2005-10,1994-06
joe,randall,joe.randall1883@gmail.com,MrMcU,montana,2017-10,2005-04
ann,yu,ann.yu@secmail.pro,2pjb8,idaho,1997-01,2017-10
